Cell_Area_(cm2),Batch_ID,Sample_ID,Efficiency_(percent),Rsh_(ohm-cm2),Rs_(ohm-cm2),n_at_1_sun,n_at_ 1/10_suns,Jo2_(A/cm2),Isc_(A),Voc_(V),FF_(percent)
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1080,21.82186,3469.211477,0.355887,0.99853,1.118905,3.577952e-09,9.882972,0.668021,81.277899
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1081,21.668646,3122.481179,0.361753,1.010547,1.1457,4.562131e-09,9.86276,0.666816,81.018767
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1082,21.71966,4685.931635,0.38864,1.002309,1.112005,3.850589e-09,9.872576,0.666915,81.116797
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1083,20.8591,2419.936284,0.139493,1.073941,1.454141,1.510084e-08,9.608863,0.665123,80.256449
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1084,21.404881,3437.765305,0.327655,1.020982,1.214662,8.673439e-09,9.808891,0.664993,80.69267
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1085,21.223808,2035.880517,0.286977,1.045073,1.303058,9.913023e-09,9.782391,0.664255,80.315982
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1086,21.692694,2591.299508,0.36441,1.002808,1.146171,3.89534e-09,9.86478,0.667339,81.028538
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1087,21.765381,4391.458897,0.397105,0.998427,1.105528,3.231144e-09,9.880415,0.667593,81.140479
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1088,21.756088,2768.126115,0.418835,1.000875,1.142466,3.934536e-09,9.903278,0.668661,80.789361
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1089,21.7666,4021.34385,0.360142,1.003191,1.123856,3.982282e-09,9.867872,0.667929,81.207366
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1090,21.394607,3516.328287,0.466557,0.996413,1.153816,5.560972e-09,9.841624,0.664728,80.417751
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1091,21.441497,3575.689773,0.484892,0.992137,1.118668,3.760475e-09,9.851198,0.664416,80.553509
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1092,21.588995,4656.398017,0.424392,0.991886,1.103852,3.644645e-09,9.867329,0.664483,80.96694
245.9,210BS_760Z6_721PT_CFAL_FA_SFTB,MZ2210_83UM_MP_1093,21.633193,3379.546387,0.454071,0.992341,1.112976,3.296179e-09,9.889553,0.666024,80.762997
245.9,Calibration,V7-11,,,,,,,9.638127,,
245.9,Calibration,V7-11,17.829727,10054.492742,1.53658,1.225924,1.99856,6.639141e-08,9.642688,0.643865,70.617174
245.9,Jake,SG1-157,21.235557,57120.723494,1.314477,0.933324,1.208458,6.039832e-09,9.909462,0.698941,75.393073
245.9,Jake,SG1-156,21.567222,93570.125306,0.808823,1.054804,1.238179,8.354491e-09,9.860494,0.690491,77.892539
245.9,Sagnik,Cell-02,17.61398,30187.98402,2.0683,1.130512,1.449535,1.961528e-08,9.106741,0.678647,70.082411
245.9,Sagnik,Cell-01,17.945253,16843.363101,0.777085,1.262975,1.505029,3.736648e-08,8.944383,0.652724,75.583708
245.9, 325BS_745Z6_568PT_1AFR105_2AFR150,SP18F11_02,11.888625,38955.827556,7.606365,0.991153,1.227062,1.17035e-08,9.853582,0.658232,45.073045
245.9, 325BS_745Z6_568PT_1AFR105_2AFR150,SP18F11_02,12.060515,38426.828575,7.461862,0.992838,1.230649,1.188802e-08,9.873403,0.658604,45.607146
245.9, 325BS_745Z6_568PT_1AFR105_2AFR150,SP18F11_02,262.418833,38305.175809,-4.319567,,1.119478,1.532465e-08,35.157533,0.66617,275.518075
245.9,cal,Ag_73,,,,,,,10.183041,,
245.9,cal,Ag_73,21.837636,32457.235963,0.798932,1.002544,1.109397,5.080602e-09,10.183644,0.669093,78.80879
245.9,325BS_745Z6_568PT_1AFR105_2AFR150_Cu,SP18F11_01,0.616807,52586.561386,-5573.036575,,1.104061,1.403188e-08,38.134141,0.663985,0.599012
245.9,325BS_745Z6_568PT_1AFR105_2AFR150_Cu,SP18F11_01,149.57712,60521.75132,-2.358378,,1.107352,1.6024e-08,40.18122,0.664328,137.790164
245.9,Calibration,Ag-73,429.232506,3266.468763,-10.341983,,1.077522,8.592727e-09,45.326076,0.674573,345.202812
245.9,Calibration,Ag-73,447.60951,2523.015115,-14.457232,,1.098768,8.524421e-09,39.405799,0.678333,411.76994
245.9,Calibration,Ag-79,,,,,,,10.481012,,
245.9,Calibration,Ag-79,22.326029,5218.15806,0.825291,1.004447,1.149447,6.264974e-09,10.481336,0.669167,78.274271
